NR	Created	Modified		What is your Prolific ID?	Please indicate the type of touch you received by selecting the corresponding field, or by entering an alternative answer.	Other (please specify)	Who was the interaction partner in this touch experience?	Other (please specify)	Who took the initiative?	What was the (presumed) intention of the touch?	Why was the touch experience negative?	Click the picture that best describes your current relationship with the interaction partner (i.e., other).												Using your own words, give a short description of the location and situation in which the touch occurred (e.g., “sitting on a bench in the bus”):	That I was successfully completing difficult tasks and projects.	That I was experiencing new sensations and activities.	A sense of contact with people who care for me, and whom I care for.	That I was &#34;becoming who I really am.&#34;	That my life was structured and predictable.	That I was a person whose advice others seek out and follow.	That my choices were based on my true interests and values.	That I had many positive qualities.	Close and connected with other people who are important to me.	Intense physical pleasure and enjoyment.	That I got enough exercise and was in excellent physical condition.	That I was taking on and mastering hard challenges.	A sense of deeper purpose in life.	Glad that I have a comfortable set of routines and habits.	A strong sense of self-respect.	That I strongly influenced others&#39; beliefs and behavior.	That my body was getting just what it needed.	Free to do things my own way.	Quite satisfied with who I am.	That I had found new sources and types of stimulation for myself.	Safe from threats and uncertainties.	A strong sense of physical well-being.	Very capable in what I did.	That my choices expressed my &#34;true self.&#34;	A deeper understanding of myself and my place in the universe.	That I had strong impact on what other people did.	A strong sense of intimacy with the people I spent time with.	Interested	Distressed	Excited	Upset	Strong	Guilty	Scared	Hostile	Enthusiastic	Proud	Irritable	Alert	Ashamed	Inspired	Nervous	Determined	Attentive	Jittery	Active	Afraid	Age:	Gender:	Gender (if you prefer to type):	Elapsed time
21603223	12.06.2022 14:17	12.06.2022 14:17	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	612797a5779a100a92a25666	Hand on the shoulder		Stranger		The interaction partner mainly took the initiative	flirty	unwanted	.	2	8	7	1	5	2	1	Not applicable		Not applicable	2	dance floor at a wedding	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Quite a bit (4)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	34	Female		4 minutes 50 seconds
21603224	12.06.2022 14:17	12.06.2022 14:17	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5cf10c50968101001aee96c9	Hand on the shoulder		Colleague		The interaction partner mainly took the initiative	to comfort me while giving me bad news	because they were doing it to make me feel better about bad news	.	10	2	2	1	1	10	10		9		1	I was standing in my office at work	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Extremely (5)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	36	Male		4 minutes 7 seconds
21603225	12.06.2022 14:17	12.06.2022 14:17	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5d271ba32350070001871592	Handshake		Colleague		The interaction partner mainly took the initiative	As a greeting	Because the person shaking my hand was aggressive and unfriendly	.	3	4	8	1	3	2	2		9		6	In my office at work.	Not at all	Not at all	Not at all	Not at all	A little	Not at all	A little	A little	Not at all	Not at all	Not at all	Not at all	A little	Not at all	A little	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	A little	Not at all	Not at all	Not at all	A little (2)	Quite a bit (4)	Moderately (3)	Extremely (5)	A little (2)	Moderately (3)	Quite a bit (4)	Extremely (5)	Not at all (1)	Not at all (1)	Extremely (5)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	A little (2)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	29	Female		4 minutes 3 seconds
21603226	12.06.2022 14:17	12.06.2022 14:17	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5ca650fc557aec0012e200d8	Hand on the shoulder		Acquaintance		The interaction partner mainly took the initiative	to show friendiness	I dislike anyone grabbing my shoulder	.	7	5	5	3	4	6	7		6		4	on the street, just walking along	Not at all	A little	Not at all	Not at all	Moderately	A little	Quite a bit	Moderately	A little	A little	Moderately	Moderately	A little	Moderately	Moderately	A little	A little	Moderately	Moderately	A little	Moderately	A little	A little	Moderately	Moderately	A little	A little	A little (2)	Moderately (3)	Not at all (1)	Quite a bit (4)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	A little (2)	A little (2)	A little (2)	42	Female		4 minutes 45 seconds
21603227	12.06.2022 14:17	12.06.2022 14:17	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5e2dbac5b9a45e3b0f43d4e7	Hug		Stranger		The interaction partner mainly took the initiative	To hug and say goodbye	Because I hate being hugged, even worse when it’s a drunk person I barely know	.	9	2	6	2	5	3	9		5		3	Leaving the pub with friends	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	A little	A little	A little	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	A little	A little	Not at all	Not at all	Not at all	A little	Not at all	A little	A little	Not at all	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Moderately (3)	A little (2)	A little (2)	42	Female		5 minutes 6 seconds
21603228	12.06.2022 14:17	12.06.2022 14:17	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60e0e2d9a207ba546969b432	Handshake		Colleague		The interaction partner mainly took the initiative	Greeting	I am still worried about the passing of germs following the pandemic where most people refrained from unnecessary touch such as handshakes. This was the first I have experienced since then and it really made me anxious and feel like I had germs, even though in my head I knew the person was healthy.	.	7	2	8	1	1	7	10		10		1	In an interview room just after I had entered the door before I sat down	Moderately	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Quite a bit	Not at all	Not at all	Quite a bit	Quite a bit	Moderately	Quite a bit	Not at all	Not at all	Not at all	Moderately	Quite a bit	Not at all	Not at all	Very much	Very much	Moderately	A little	Not at all	A little	A little (2)	Moderately (3)	Moderately (3)	A little (2)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Extremely (5)	Not at all (1)	A little (2)	Extremely (5)	Extremely (5)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Quite a bit (4)	22	Female		5 minutes 15 seconds
21603229	12.06.2022 14:17	12.06.2022 14:17	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5d0cd09edff7d70019e6e045	Handshake		Family member		I mainly took the initiative	cordial	no	...	7	9	9	10	3	9	6		8		10	on a sofa at home	Very much	Very much	Quite a bit	Very much	Very much	Very much	Quite a bit	Very much	Very much	Very much	Quite a bit	Very much	Very much	Very much	Moderately	Quite a bit	Quite a bit	Quite a bit	Very much	Quite a bit	Very much	Quite a bit	Quite a bit	Quite a bit	Very much	Quite a bit	Quite a bit	Quite a bit (4)	Not at all (1)	Quite a bit (4)	A little (2)	Quite a bit (4)	A little (2)	A little (2)	A little (2)	Quite a bit (4)	Extremely (5)	Not at all (1)	Quite a bit (4)	A little (2)	Quite a bit (4)	Not at all (1)	Extremely (5)	Extremely (5)	Not at all (1)	A little (2)	A little (2)	27	Male		4 minutes 26 seconds
21603231	12.06.2022 14:18	12.06.2022 14:18	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5ef647ec3ce68a1178780f5a	Handshake		Stranger		The interaction partner mainly took the initiative	a greeting	I didn't really want to have physical contact of any kind with this person but they initiated it and I did not want to seem rude or hostile by refusing.	.	6	4	3	2	1	8	4		6		4	In an office	A little	Not at all	Not at all	Not at all	A little	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Moderately	Not at all	Not at all	A little	Not at all	Not at all	Not at all	A little	Not at all	A little	Not at all	Moderately	Not at all	Not at all	Not at all	Not at all	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Quite a bit (4)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	45	Female		5 minutes 9 seconds
21603233	12.06.2022 14:18	12.06.2022 14:18	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5eb33bad3ce6e6129e9f9f5b	Hug		Acquaintance		The interaction partner mainly took the initiative	Friendly gesture as hadn't seen in a long time	I don't like being hugged, as I get older I am better at telling people this, but they insisted on hugging me anyway.	..	6	4	8	2	4	3	10	Not applicable	3		8	We were at a friends house, so neither me or the other person lived there.	Not at all	Not at all	A little	Moderately	Not at all	A little	Quite a bit	Quite a bit	Moderately	Not at all	A little	Moderately	Moderately	A little	Quite a bit	A little	Not at all	Quite a bit	Quite a bit	Moderately	A little	Quite a bit	Quite a bit	Quite a bit	Moderately	A little	A little	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	A little (2)	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Extremely (5)	Moderately (3)	Extremely (5)	Not at all (1)	A little (2)	Moderately (3)	Moderately (3)	A little (2)	A little (2)	Not at all (1)	45	Female		5 minutes 59 seconds
21603235	12.06.2022 14:19	12.06.2022 14:19	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	574da26c7f1e770007f42d11	Handshake		Acquaintance		The interaction partner mainly took the initiative	To mark the end of an encounter	It was disingenuous	..	5	4	5	4	3	5	5		6		7	On court, after a match	Quite a bit	A little	Not at all	Not at all	Moderately	Not at all	Not at all	A little	Not at all	Not at all	Moderately	A little	Not at all	Moderately	Moderately	Moderately	Quite a bit	Moderately	Quite a bit	A little	Quite a bit	Quite a bit	Quite a bit	Moderately	A little	Moderately	A little	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Moderately (3)	A little (2)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	66	Male		5 minutes 31 seconds
21603238	12.06.2022 14:19	12.06.2022 14:19	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60183476ad6cff03e6cfe62a	Hug		Colleague		The interaction partner mainly took the initiative	to be friendly	i am not a fan of hugs from work colleagues, it was unexpected and awkward.	.	5	2	5	1	3	4	9	Not applicable		Not applicable	1	In the office, which is a large open plan and very busy place.	Moderately	Not at all	A little	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	Moderately	Moderately	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	Moderately	A little	Quite a bit	Quite a bit	A little	A little	Quite a bit	Quite a bit	Quite a bit	Moderately	Moderately	Moderately	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	35	Female		6 minutes 28 seconds
21603241	12.06.2022 14:19	12.06.2022 14:19	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5ecd36302b4d3c05d4cc1ba2	Hug		Stranger		We both took the initiative	a greeting	it lasted too long and was too intimate	..	6	7	8	7	5	5	6		5		4	standing outside a hotel	Moderately	Moderately	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	A little (2)	Moderately (3)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	A little (2)	Moderately (3)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	54	Female		5 minutes 18 seconds
21603243	12.06.2022 14:19	12.06.2022 14:19	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5a8ad2082a842c0001fce0f2	Handshake		Stranger		The interaction partner mainly took the initiative	As a form of greeting	uncomfortable	..	4	4	4	4	3	5	8		8		3	Outside a nightclub	Not at all	A little	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all	A little	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	A little (2)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	26	Male		5 minutes 54 seconds
21603244	12.06.2022 14:19	12.06.2022 14:19	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	59b7cbab110131000146620b	Hug		Acquaintance		The interaction partner mainly took the initiative	not sure	yes	..	5	4	4	4	5	5	7	Not applicable	6		3	meeting outside standing up	A little	A little	Moderately	Not at all	Not at all	Moderately	Moderately	A little	Moderately	Moderately	Moderately	A little	A little	Quite a bit	Moderately	A little	A little	Moderately	Moderately	Moderately	Moderately	A little	A little	Moderately	A little	A little	A little	A little (2)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	65	Male		7 minutes 20 seconds
21603246	12.06.2022 14:20	12.06.2022 14:20	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	6160c8f657e3c4094b01614a	Hand on the shoulder		Colleague		The interaction partner mainly took the initiative	Friendly	I don't like my space invaded suddenly	..	3	3	8	3	7	4	6	Not applicable	7		0	At work behind the counter.	A little	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Moderately	A little	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Moderately	A little	Not at all	Not at all	A little	A little	Not at all	Not at all	Not at all	Not at all	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	34	Male		7 minutes 26 seconds
21603247	12.06.2022 14:20	12.06.2022 14:20	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5ee683596f9b570626faa11c	Hug		Stranger		The interaction partner mainly took the initiative	older woman was trying to show she was happy with my work	she squeezed and groped my glutes	.	3	4	2	7	4	1	8		1		0	I was delivering packages then gave a woman her packet then she told me a story i agreed then she hugged me in her garden and groped me	Not at all	Not at all	Not at all	Moderately	Not at all	A little	A little	A little	Not at all	Not at all	A little	A little	Moderately	Moderately	Not at all	Moderately	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Quite a bit	A little	Not at all	Not at all (1)	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Extremely (5)	Not at all (1)	Not at all (1)	Extremely (5)	Extremely (5)	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Extremely (5)	Not at all (1)	Extremely (5)	41	Male	Male	7 minutes 38 seconds
21603248	12.06.2022 14:20	12.06.2022 14:20	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5a67676a35f26b000149689d	Hug		Partner		The interaction partner mainly took the initiative	For comfort when I was stressed.	When I'm stressed, I don't really like to be touched, but my partner does like to be touched when she's stressed so I think she assumes the same of me.	......	9	7	9	4	6	10	10		1		10	standing up in the kitchen of my flat.	Not at all	Not at all	Quite a bit	Not at all	Very much	Not at all	Not at all	A little	Quite a bit	Not at all	Not at all	Not at all	Moderately	A little	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Quite a bit	Not at all	Not at all	Not at all	Not at all	Not at all	Moderately	A little (2)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Quite a bit (4)	A little (2)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	27	Female		7 minutes 17 seconds
21603249	12.06.2022 14:20	12.06.2022 14:20	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60d1a4f8de0e9ccdf1d42d73	Caress		Acquaintance		The interaction partner mainly took the initiative	Greeting	Unfamiliar with the person to have level of personal touch	..	9	4	4	3	5	6	5	Not applicable	3	Not applicable	1	Standing in a group of people meeting outdoors	A little	Moderately	Not at all	Not at all	Not at all	A little	Quite a bit	Quite a bit	Quite a bit	Not at all	Moderately	A little	Not at all	Quite a bit	Very much	Not at all	Not at all	Not at all	Very much	Not at all	Moderately	Moderately	Moderately	A little	Moderately	Not at all	A little	A little (2)	A little (2)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Moderately (3)	A little (2)	Not at all (1)	Not at all (1)	43	Female		7 minutes 40 seconds
21603251	12.06.2022 14:20	12.06.2022 14:20	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	607713f930627fc4d4e42906		Squeeze	Partner		The interaction partner mainly took the initiative	Fun	Unexpected	...	8	5	5	5	2	6	10		9		0	In the bedroom packing a bag	Not at all	Not at all	Moderately	Not at all	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Quite a bit	A little	Moderately	Quite a bit	Quite a bit	Quite a bit	Moderately	Moderately	Quite a bit	Moderately	Quite a bit	Quite a bit	Moderately	Moderately	Moderately	Moderately	Quite a bit	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	29	Male		6 minutes 50 seconds
21603252	12.06.2022 14:20	12.06.2022 14:20	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5ea8c40504081a31ebd22b41		touch on arm in conversation with stranger	Stranger	customer at work	The interaction partner mainly took the initiative	to help communication	I don't like being touched by strangers	.	7	5	7	3	3	5	6		5		2	helping a customer at work, she put her hand on my arm to make a point in the conversation	Moderately	Not at all	Not at all	Not at all	Not at all	Quite a bit	A little	Quite a bit	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Quite a bit	Moderately	Not at all	Not at all	A little	Not at all	A little	Not at all	Moderately	A little	Not at all	Moderately	Not at all	A little (2)	Moderately (3)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Moderately (3)	Moderately (3)	A little (2)	Not at all (1)	59	Female		7 minutes 28 seconds
21603253	12.06.2022 14:20	12.06.2022 14:20	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	61bb376140db417c1a138a3e	Kiss		Acquaintance		The interaction partner mainly took the initiative	A welcome	Because I don’t like the person	.	10	2	6	2	2	4	10		10		1	At a BBQ party where I was working as a chef	Very much	Moderately	Moderately	Not at all	Moderately	Moderately	Quite a bit	Quite a bit	Very much	Quite a bit	A little	A little	A little	A little	A little	Quite a bit	A little	A little	A little	A little	Very much	Quite a bit	Very much	Quite a bit	Moderately	Moderately	Quite a bit	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	36	Male		7 minutes 52 seconds
21603254	12.06.2022 14:20	12.06.2022 14:20	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5c42572e3be7b70001fd086b	Handshake		Colleague		The interaction partner mainly took the initiative	A greeting	I felt it was inappropriate	.	8	3	2	2	3	1	4		4		1	At work about to go into a meeting	Moderately	Not at all	Not at all	Not at all	Moderately	Moderately	Not at all	Moderately	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Moderately	Not at all	Not at all	Moderately	Moderately	Not at all	Quite a bit	Not at all	Moderately	Moderately	Not at all	Moderately	Not at all	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	A little (2)	A little (2)	Not at all (1)	A little (2)	53	Female		7 minutes 53 seconds
21603255	12.06.2022 14:20	12.06.2022 14:20	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	627126d9ccfbfad602369830	Hand on the shoulder		Colleague		The interaction partner mainly took the initiative	greeting	alittle	..	4	5	5	3	2	6	5	Not applicable	8		3	in a pub/bar	Moderately	Moderately	A little	Moderately	Moderately	A little	A little	A little	A little	A little	Moderately	Moderately	A little	Moderately	Moderately	Quite a bit	Moderately	Quite a bit	Quite a bit	Moderately	Moderately	Moderately	Quite a bit	Moderately	Moderately	Quite a bit	Quite a bit	Moderately (3)	Moderately (3)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Moderately (3)	A little (2)	Moderately (3)	A little (2)	38	Male		7 minutes 15 seconds
21603259	12.06.2022 14:20	12.06.2022 14:20	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5fa6ad4833546a3096d64729	Handshake		Acquaintance		We both took the initiative	Handshake	Poorly executed	.	4	3	6	5	5	7	7		7		8	At a rooftop terrace bar having drinks	Quite a bit	Not at all	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Very much	Very much	Very much	Very much	Very much	Quite a bit	Moderately	Very much	Quite a bit	Moderately	Quite a bit	Very much	Very much	Moderately	A little	Quite a bit	Moderately	A little (2)	A little (2)	Moderately (3)	A little (2)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Quite a bit (4)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	A little (2)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	22	Male		7 minutes 21 seconds
21603261	12.06.2022 14:21	12.06.2022 14:21	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5c6433b06b12400001d4368c	Caress		Stranger		The interaction partner mainly took the initiative	For them to touch other parts of me	Because I didn't like it	.	9	2	8	1	2	1	10	Not applicable	1		0	My thighs	A little	Not at all	Not at all	Not at all	Not at all	Not at all	A little	A little	A little	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Not at all	A little	A little	Not at all	Not at all	Not at all	Not at all (1)	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Moderately (3)	Quite a bit (4)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	Extremely (5)	Moderately (3)	Not at all (1)	Extremely (5)	A little (2)	A little (2)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	23	Female		8 minutes 19 seconds
21603262	12.06.2022 14:21	12.06.2022 14:21	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	6234b3775193f8e94ee8c626	Handshake		Family member		I mainly took the initiative	Greeting	Very limp and disappointing	..	9	3	1	2	2	3	5		4		2	In brothers kitchen	Not at all	A little	Quite a bit	A little	Moderately	A little	A little	Quite a bit	A little	Not at all	Quite a bit	A little	A little	Moderately	Quite a bit	A little	Not at all	A little	Quite a bit	Not at all	A little	Moderately	Moderately	A little	A little	Moderately	A little	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	A little (2)	Moderately (3)	Not at all (1)	A little (2)	A little (2)	Moderately (3)	Moderately (3)	A little (2)	Moderately (3)	Not at all (1)	50	Male		8 minutes 8 seconds
