NR	Created	Modified		What is your Prolific ID?	Please indicate the type of touch you received by selecting the corresponding field, or by entering an alternative answer.	Other (please specify)	Who was the interaction partner in this touch experience?	Other (please specify)	Who took the initiative?	What was the (presumed) intention of the touch?	Why was the touch experience positive?	Click the picture that best describes your current relationship with the interaction partner (i.e., other).												Using your own words, give a short description of the location and situation in which the touch occurred (e.g., “sitting on a bench in the bus”):	That I was successfully completing difficult tasks and projects.	That I was experiencing new sensations and activities.	A sense of contact with people who care for me, and whom I care for.	That I was &#34;becoming who I really am.&#34;	That my life was structured and predictable.	That I was a person whose advice others seek out and follow.	That my choices were based on my true interests and values.	That I had many positive qualities.	Close and connected with other people who are important to me.	Intense physical pleasure and enjoyment.	That I got enough exercise and was in excellent physical condition.	That I was taking on and mastering hard challenges.	A sense of deeper purpose in life.	Glad that I have a comfortable set of routines and habits.	A strong sense of self-respect.	That I strongly influenced others&#39; beliefs and behavior.	That my body was getting just what it needed.	Free to do things my own way.	Quite satisfied with who I am.	That I had found new sources and types of stimulation for myself.	Safe from threats and uncertainties.	A strong sense of physical well-being.	Very capable in what I did.	That my choices expressed my &#34;true self.&#34;	A deeper understanding of myself and my place in the universe.	That I had strong impact on what other people did.	A strong sense of intimacy with the people I spent time with.	Interested	Distressed	Excited	Upset	Strong	Guilty	Scared	Hostile	Enthusiastic	Proud	Irritable	Alert	Ashamed	Inspired	Nervous	Determined	Attentive	Jittery	Active	Afraid	Age:	Gender:	Gender (if you prefer to type):	Elapsed time
21602398	12.06.2022 12:57	12.06.2022 12:57	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5bf587d07b47600001769ac4	Hug		Family member		The interaction partner mainly took the initiative	Consolidation	Because the strong sense of relief I was feeling at the time needed a release	.....	8	7	5	8	7	9	8		4		7	At my grandparents house	Quite a bit	Quite a bit	Very much	A little	Not at all	Not at all	A little	Quite a bit	Quite a bit	A little	Moderately	Quite a bit	Quite a bit	A little	Moderately	Moderately	Very much	Very much	Very much	A little	Moderately	A little	Moderately	Very much	Quite a bit	Moderately	Very much	Moderately (3)	Extremely (5)	Moderately (3)	Extremely (5)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Moderately (3)	Moderately (3)	Moderately (3)	A little (2)	Moderately (3)	A little (2)	31	Female		6 minutes 57 seconds
21602399	12.06.2022 12:57	12.06.2022 12:57	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5911f03f5cad260001603326	Hug		Friend		The interaction partner mainly took the initiative	comfort	made me feel happier	....	10	10	8	10	1	10	7		7		6	at home in the garden sitting on the garden chairs	Not at all	Not at all	Very much	Not at all	Moderately	Very much	Moderately	Very much	Very much	Not at all	Not at all	Moderately	Moderately	Not at all	Moderately	Very much	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Moderately	A little	Moderately	Not at all	Not at all	Extremely (5)	Not at all (1)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	38	Female		7 minutes 18 seconds
21602400	12.06.2022 12:57	12.06.2022 12:57	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5e07aa9cb638531138f72587	Hug		Friend		We both took the initiative	a goodbye after not seeing each other for a while	It reinforced our connection	....	5	8	8	7	6	9	9	Not applicable	3		9	outside a pub after a pub quiz	Not at all	Not at all	Very much	A little	Moderately	Quite a bit	Quite a bit	Moderately	Very much	A little	Not at all	Not at all	Quite a bit	A little	A little	Not at all	A little	A little	Moderately	Not at all	Moderately	Moderately	A little	Moderately	Not at all	A little	Moderately	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	55	Male		7 minutes 34 seconds
21602401	12.06.2022 12:57	12.06.2022 12:57	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	61fa9085d42cb19beec4915d	Hug		Friend		The interaction partner mainly took the initiative	To comfort me	It helped calm me down and destress	.....	8	7	6	8	7	8	6	Not applicable	5		4	Standing outside my accomodation	Not at all	A little	Moderately	Not at all	Not at all	A little	A little	Moderately	Moderately	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all	A little	Not at all	A little	Not at all	A little	A little	Not at all	A little (2)	A little (2)	Not at all (1)	Moderately (3)	A little (2)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	Moderately (3)	A little (2)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	19	Female		7 minutes 8 seconds
21602402	12.06.2022 12:57	12.06.2022 12:57	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	59feed1da383a100011b3eaa	Hug		Partner		We both took the initiative	Reaffirmation	The giving and receiving of love feels good	......	9	10	7	10	7	10	10		1		5	We were at home before the children had arrived downstairs, early in the morning.	Not at all	Not at all	Very much	Quite a bit	Moderately	Moderately	Quite a bit	Very much	Very much	Moderately	A little	Not at all	A little	A little	Moderately	A little	A little	Not at all	Very much	Not at all	Moderately	A little	A little	Quite a bit	A little	Moderately	Very much	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	47	Male		7 minutes 49 seconds
21602404	12.06.2022 12:58	12.06.2022 12:58	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60f8658bf9d1627d3bc87a3d	Kiss		Family member		The interaction partner mainly took the initiative	show love	It showed that the person loves me	.....	7	9	10	10	3	9	5		5		8	Sitting on the sofa.	A little	Moderately	Very much	Moderately	Moderately	Moderately	Quite a bit	Very much	Very much	A little	Not at all	Not at all	Moderately	Moderately	Quite a bit	Very much	A little	Very much	Very much	Quite a bit	Very much	Very much	Very much	Very much	Very much	Quite a bit	Very much	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	31	Female		7 minutes 36 seconds
21602405	12.06.2022 12:58	12.06.2022 12:58	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5e0b3d5dbf3d4e3868abc3ea	Kiss		Partner		I mainly took the initiative	I was being naughty	I touched something naughty	......	7	9	7	7	2	5	5		2		3	I was in my kitchen, she was leaning over the sink washing up	Not at all	Not at all	A little	Moderately	A little	A little	Quite a bit	Quite a bit	Moderately	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Very much	Moderately	Quite a bit	Moderately	Quite a bit	Moderately	Moderately	Quite a bit	Quite a bit	A little	A little	Quite a bit	Quite a bit (4)	Not at all (1)	Extremely (5)	Not at all (1)	Quite a bit (4)	Moderately (3)	Not at all (1)	Not at all (1)	Quite a bit (4)	Moderately (3)	Not at all (1)	Quite a bit (4)	A little (2)	Quite a bit (4)	A little (2)	Quite a bit (4)	Extremely (5)	A little (2)	Quite a bit (4)	Not at all (1)	50	Male		7 minutes 46 seconds
21602406	12.06.2022 12:58	12.06.2022 12:58	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	564f52ab9b124900107eb516	Hug		Partner		The interaction partner mainly took the initiative	To comfort me	It came at the end of an exhausting day and I could just relax and recover for a moment.	......	9	10	7	10	7	8	10		4		3	sitting on our couch in the living room	Not at all	A little	Very much	Moderately	Not at all	Not at all	Not at all	Moderately	Very much	A little	Not at all	Not at all	Quite a bit	Not at all	Not at all	Not at all	Moderately	Not at all	Quite a bit	Not at all	Very much	Quite a bit	Not at all	Not at all	Not at all	Not at all	Moderately	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	45	Male		8 minutes 17 seconds
21602407	12.06.2022 12:58	12.06.2022 12:58	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60bb404e01d599dfb1c3d71c	Hug		Friend		I mainly took the initiative	make her feel better	she needed a hug?	.	10	8	6	7	4	7	6		3		4	street	Moderately	Quite a bit	A little	A little	A little	A little	Quite a bit	Moderately	Moderately	A little	A little	Moderately	Moderately	Moderately	Moderately	Moderately	A little	Moderately	A little	A little	A little	Moderately	Moderately	Quite a bit	Moderately	Moderately	A little	Quite a bit (4)	Moderately (3)	A little (2)	Moderately (3)	Quite a bit (4)	Moderately (3)	A little (2)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	A little (2)	A little (2)	Moderately (3)	A little (2)	Moderately (3)	A little (2)	39	Female		8 minutes 2 seconds
21602408	12.06.2022 12:58	12.06.2022 12:58	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5ce5bcf74caf470001da7c33	Hand on the shoulder		Family member		I mainly took the initiative	Home	I was showing how happy I was	......	7	8	7	9	3	9	7	Not applicable	9		7	We were in my room and we discussed a funny joke between us.	Moderately	Quite a bit	Very much	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	A little	A little	Moderately	Quite a bit	Moderately	Moderately	Moderately	Quite a bit	Moderately	Moderately	Very much	Quite a bit	Quite a bit	Very much	A little	Quite a bit	Quite a bit	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Quite a bit (4)	A little (2)	Quite a bit (4)	Not at all (1)	26	Male		5 minutes 27 seconds
21602410	12.06.2022 12:58	12.06.2022 12:58	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	59942e109845ef00014de0a3	Handshake		Colleague		We both took the initiative	Mutual respect.	It symbolised mutual respect. That's deep.	...	4	6	7	6	9	10	6			Not applicable	6	Outside in a local park after a therapy session.	Quite a bit	Not at all	Moderately	A little	A little	Moderately	Moderately	Moderately	A little	A little	Not at all	A little	Very much	A little	Quite a bit	A little	A little	A little	Quite a bit	Not at all	A little	Moderately	Moderately	Moderately	Quite a bit	Moderately	Moderately	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	41	Male		8 minutes 46 seconds
21602411	12.06.2022 12:59	12.06.2022 12:59	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5d55a0f63af827001981b8d6	Hug		Partner		We both took the initiative	to make me feel better	It felt good and made me feel loved	......	9	9	6	10	10	10	10		1		7	Standing in my kitchen	Not at all	A little	Very much	Very much	Quite a bit	A little	Quite a bit	A little	Very much	Very much	Not at all	Not at all	Moderately	A little	A little	A little	Very much	A little	A little	Not at all	Moderately	Moderately	A little	Quite a bit	A little	A little	Very much	Extremely (5)	Quite a bit (4)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Quite a bit (4)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	55	Female		8 minutes 13 seconds
21602413	12.06.2022 12:59	12.06.2022 12:59	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	612f5beeadebe8b6969dc5a9	Hug		Partner		We both took the initiative	As a welcome back greeting	My wife had been away for a few days and it was good to have her back.	......	9	10	9	10	8	10	7	Not applicable		Not applicable	9	When my wife came in the front door	Not at all	Not at all	Very much	A little	Quite a bit	Quite a bit	Very much	Very much	Very much	Quite a bit	Moderately	Moderately	Moderately	Quite a bit	Quite a bit	A little	Quite a bit	Very much	Very much	A little	Quite a bit	Quite a bit	Very much	Very much	A little	Quite a bit	Very much	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	75	Male		8 minutes 40 seconds
21602414	12.06.2022 12:59	12.06.2022 12:59	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5da57bdaca1b86001770b13d	Hug		Partner		I mainly took the initiative	loving	made me happy	......	10	10	8	10	9	10	5		3		5	my home	Not at all	Not at all	Quite a bit	Moderately	A little	Moderately	Very much	Quite a bit	Very much	Very much	Moderately	Not at all	Moderately	Quite a bit	Very much	Moderately	A little	Quite a bit	Quite a bit	Moderately	Quite a bit	Moderately	Quite a bit	Quite a bit	Moderately	Moderately	Very much	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	A little (2)	A little (2)	A little (2)	Quite a bit (4)	Moderately (3)	Quite a bit (4)	Not at all (1)	35	Female		8 minutes 39 seconds
21602415	12.06.2022 12:59	12.06.2022 12:59	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	58404fd8ad98e40001ce915f	Hug		Partner		We both took the initiative	To feel happy about someone coming home and seeing them again, to feel and show love and appreciation.	It was a regular part of the day and shows gratitude and appreciation.	......	9	10	10	10	5	10	10	Not applicable	5		10	At home in the kitchen	Not at all	Not at all	Very much	Moderately	Quite a bit	Not at all	Very much	Quite a bit	Very much	A little	Not at all	Not at all	A little	A little	Not at all	Not at all	A little	Moderately	Not at all	Not at all	Moderately	Moderately	A little	Quite a bit	Not at all	Not at all	Moderately	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	49	Female		8 minutes 3 seconds
21602416	12.06.2022 13:00	12.06.2022 13:00	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5f0c5a561cecb606cd7987b0	Hug		Partner		I mainly took the initiative	reassurance	It was comforting	......	8	9	7	9	7	8	6	Not applicable	3	Not applicable	8	At home whilst working	Quite a bit	Quite a bit	Quite a bit	A little	Quite a bit	A little	Moderately	A little	Quite a bit	A little	A little	A little	A little	Quite a bit	A little	Moderately	Moderately	A little	A little	Moderately	Quite a bit	Quite a bit	A little	A little	A little	Moderately	Quite a bit	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	21	Male		9 minutes 57 seconds
21602417	12.06.2022 13:00	12.06.2022 13:00	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5f2f05032ffd3c2c829e280f	Hug		Family member		I mainly took the initiative	Care	It was by someone loved	......	8	8	9	10	9	10	7		5		8	Sitting in the sofa at home	A little	A little	Moderately	Moderately	A little	Moderately	Moderately	Moderately	Quite a bit	Moderately	A little	A little	Moderately	Moderately	Quite a bit	Moderately	A little	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Moderately	Moderately	A little	Moderately	Quite a bit (4)	Extremely (5)	Quite a bit (4)	Not at all (1)	Extremely (5)	Not at all (1)	A little (2)	Not at all (1)	Quite a bit (4)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	32	Female		10 minutes 7 seconds
21602418	12.06.2022 13:00	12.06.2022 13:00	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5b2284fee0b8e50001da3ac2	Hug		Family member		I mainly took the initiative	to show happiness	it showed that we was very happy	......	9	9	9	10	6	10	6	Not applicable	9		9	my son came to visit my home and i gave him a hug	Not at all	Very much	Very much	Not at all	Very much	Very much	Very much	Very much	Very much	Very much	Not at all	Not at all	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Quite a bit	Very much	Very much	Very much	Very much	Very much	Very much	A little	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Extremely (5)	Not at all (1)	Extremely (5)	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	51	Female		9 minutes 52 seconds
21602419	12.06.2022 13:00	12.06.2022 13:00	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5d5db7f7ca179000180b17cc	Hug		Friend		We both took the initiative	to say goodbye	my friend was moving to Canada to live	.....	8	9	9	10	4	10	6		7		9	At the my friends place, outside his front door we talked and then hugged as her taxi came to take her to the airport	Not at all	Moderately	Quite a bit	Quite a bit	A little	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Moderately	Quite a bit	Quite a bit	Moderately	Quite a bit	Moderately	Quite a bit	Quite a bit	Moderately	Moderately	Moderately	Quite a bit	Moderately	A little	Moderately	Moderately	Extremely (5)	Not at all (1)	A little (2)	Moderately (3)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	37	Male		9 minutes 12 seconds
21602420	12.06.2022 13:00	12.06.2022 13:00	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5adc95a1066c510001d410d7	Handshake		Partner		We both took the initiative	To welcome back me from a trip	I felt good that somebody is waiting for me passionately.	......	9	10	9	10	9	10	7		7		9	The entrance gallery of house while standing	Quite a bit	Very much	Very much	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Very much	Quite a bit	Quite a bit	Quite a bit	Very much	Very much	Moderately	Very much	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Very much	Moderately	Moderately	Very much	Quite a bit (4)	Not at all (1)	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Extremely (5)	Not at all (1)	A little (2)	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	43	Male		10 minutes 35 seconds
21602421	12.06.2022 13:01	12.06.2022 13:01	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5fb7f2531f7e24425ac7c8c3	Hug		Friend		We both took the initiative	To indicate it had been a while since we had seen each other and to show affection for one another and stoke the fire of our friendship.	I work with this friend on a daily basis and see or talk to him everyday, but for a two week period I was quite ill and didn't see him, so upon our first meet in a while it was good reminder of how great a friend he is.	......	7	8	9	7	3	7	7		6		8	We had both driven to a recreational area with plenty of entertainment outlets and we met up in the carpark	A little	Not at all	Quite a bit	Moderately	Quite a bit	Very much	Quite a bit	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Very much	Moderately	A little	Moderately	A little	Moderately	A little	Not at all	A little	Moderately	Quite a bit	Quite a bit	Quite a bit	Moderately	Moderately	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	25	Male	Male	10 minutes 30 seconds
21602422	12.06.2022 13:01	12.06.2022 13:01	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5d68c8aa40524c00189e8ac2	Hug		Family member		I mainly took the initiative	To spread joy and caring	Because it felt nice and reassuring	......	8	7	7	9	7	9	1	Not applicable		Not applicable	8	At home in the living room	Not at all	Not at all	Very much	Moderately	Not at all	Moderately	Not at all	Quite a bit	Very much	A little	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Moderately	Not at all	A little	Not at all	Not at all	Quite a bit	A little	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	30	Male	Male	3 minutes 23 seconds
21602423	12.06.2022 13:01	12.06.2022 13:01	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60f5917414ac7d222d22db64	Hug		Partner		We both took the initiative	affection	we both were in a positive frame of mind and the fact that it was natural made it better for me.	......	8	10	7	10	7	10	6	Not applicable	5	Not applicable	5	Sitting on our sofa	Not at all	A little	Very much	Moderately	Quite a bit	A little	Very much	Very much	Very much	Quite a bit	Moderately	A little	Moderately	Quite a bit	Very much	Moderately	Very much	Moderately	Very much	Quite a bit	Very much	Very much	Very much	Very much	Quite a bit	Moderately	Very much	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	24	Female		11 minutes 48 seconds
21602427	12.06.2022 13:02	12.06.2022 13:02	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5c6460d540c2610001424d3f	Hug		Partner		I mainly took the initiative	Comfort	It provided comfort and reassurance	.....	7	6	6	6	4	7	1	Not applicable	3		6	In the living room of my house	Not at all	Not at all	Quite a bit	Not at all	Not at all	Not at all	Not at all	Not at all	Quite a bit	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Quite a bit	A little (2)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	41	Male		12 minutes 44 seconds
21602429	12.06.2022 13:03	12.06.2022 13:03	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	58d0632c2fc72000011f8c57	Hand on the shoulder		Friend		The interaction partner mainly took the initiative	Reassurance	It reinforced and reaffirmed the friendship.	.....	7	8	7	8	5	8	7		4		4	This occurred on a golf course while standing close together on a fairway. We were playing a round together for the first time in several years.	Not at all	A little	Very much	Moderately	A little	Moderately	Quite a bit	Quite a bit	Very much	A little	Quite a bit	Moderately	Moderately	Not at all	Moderately	A little	Moderately	Moderately	Quite a bit	Moderately	Moderately	Moderately	Moderately	Quite a bit	A little	A little	Quite a bit	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	Not at all (1)	Quite a bit (4)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	45	Male		12 minutes 52 seconds
21602432	12.06.2022 13:03	12.06.2022 13:03	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	610e62ca8c24cff7be997e78	Handshake		Colleague		I mainly took the initiative	Introduction	First time meeting physically	..	6	8	7	7	3	9	5	Not applicable		Not applicable	8	meeting room (office)	Very much	Moderately	Quite a bit	Moderately	Quite a bit	Very much	Quite a bit	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Moderately	Quite a bit	Very much	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	37	Male		12 minutes 19 seconds
